date,daily_pnl,daily_volume,n_trades,fg_value
2023-05-01,0.0,477.0,3,63.0
2023-12-05,0.0,50005.83,9,75.0
2023-12-14,-205.43473700000007,113203.35,11,72.0
2023-12-15,-24.632034,10609.95,2,70.0
2023-12-16,0.0,15348.77,3,67.0
2023-12-17,304.982785,116278.02,14,73.0
2023-12-18,0.0,31164.18,2,65.0
2023-12-19,1000.538612,91602.41,15,73.0
2023-12-20,162.732282,141636.79,18,74.0
2023-12-21,537.211402,125233.97,49,70.0
2023-12-22,141.832675,88874.28,10,74.0
2023-12-23,146.936704,78438.25,13,70.0
2023-12-24,1008.619956,402954.94,39,71.0
2023-12-25,-245.081348,59948.51,3,73.0
2023-12-27,-704.8892269999999,171411.06,28,73.0
2023-12-28,-970.730876,100117.25,23,73.0
2023-12-29,508.922143,569559.72,50,65.0
2023-12-30,354.998648,702550.21,52,68.0
2024-01-01,-129.53146,264239.53,18,65.0
2024-01-02,783.979116,121348.74,17,71.0
2024-01-03,866.015507,394499.36,67,70.0
2024-01-04,-67.60364,99792.54,5,68.0
2024-01-05,164.141565,1703942.66,66,72.0
2024-01-06,135.58166400000002,298521.4,22,70.0
2024-01-07,-835.681235,1048850.06,97,71.0
2024-01-08,-269.874439,1522452.43,128,71.0
2024-01-09,-826.349863,870051.97,70,76.0
2024-01-10,-1517.091342,2057479.48,193,73.0
2024-01-11,-164.08950099999998,305314.1,21,76.0
2024-01-12,-1925.519024,200082.27,7,71.0
2024-01-15,152.85358,50636.1,14,52.0
2024-01-16,-2299.171458,116427.33,9,64.0
2024-01-17,813.2741110000001,800831.03,53,60.0
2024-01-18,68.93319,424631.53,46,63.0
2024-01-19,-385.419235,428428.97,48,51.0
2024-01-20,-146.57487000000003,1070090.51,106,52.0
2024-01-21,266.58114600000005,103129.74,11,56.0
2024-01-22,1375.640959,337878.99,85,55.0
2024-01-23,-369.2447299999998,414518.93000000005,45,50.0
2024-01-24,-2808.353815,965084.59,68,48.0
2024-01-25,-3093.629385,66566.13,6,52.0
2024-01-26,90.2,11773.21,5,49.0
2024-01-28,-2478.06972,18109.03,11,54.0
2024-01-29,486.562542,414208.18,74,55.0
